Activity Type, User ID, RM ID, User OS, User OS Share, Viewing App, Viewing App Version, User Groups,Shared Date, Shared Time, Title of Content, Share Channel, Viewed, Time Spent in Seconds, Last Activity Date, Last Activity Time,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Harris, MaryLea 4.64KW Preliminary Estimate.pdf",,1,10,18-Jul-2017,6:14:47,,
SHARE,5736751,2834196,,WEB,,,,18-Jul-2017,5:34:46,Get the Power Matt Crawford,WEB,1,355,18-Jul-2017,5:34:46,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Crawford, Matt 4.64KW Preliminary Estimate.pdf",,1,10,18-Jul-2017,5:34:20,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Curry, Donn 4.64KW Preliminary Estimate.pdf",,1,5,18-Jul-2017,5:00:20,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Curry, Donn 4.64KW Preliminary Estimate.pdf",,1,5,18-Jul-2017,4:54:20,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Curry, Donn 4.64KW Preliminary Estimate.pdf",,1,5,18-Jul-2017,3:05:42,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,"Curry, Donn 4.64KW Preliminary Estimate.pdf",,1,235,18-Jul-2017,2:54:54,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,Your Solar Interest - form,,1,5,18-Jul-2017,2:45:53,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,SolarEdge performance monitoring,,1,10,18-Jul-2017,2:45:41,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,SolarEdge performance under shaded conditions,,1,5,18-Jul-2017,2:45:33,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,Request your site assessment,,1,85,18-Jul-2017,2:44:07,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,Your comments:,,1,75,18-Jul-2017,2:43:58,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,Upload Electricity Bill,,1,40,18-Jul-2017,2:43:21,,
VIEW,5698896,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Still, Christopher 4.06KW Preliminary Estimate.pdf",,1,195,18-Jul-2017,2:14:02,,
VIEW,5698896,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,SolarEdge performance monitoring,,1,25,18-Jul-2017,2:13:28,,
VIEW,5698896,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Federal energy tax credit,,1,10,18-Jul-2017,2:12:45,,
VIEW,5698896,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Update on expiration of Oregon Residential energy tax credit,,1,90,18-Jul-2017,2:10:59,,
SHARE,5733956,2636314,,WEB,,,,18-Jul-2017,0:05:21,"Understanding the Basics of off grid"" for Heather Brown""",WEB,1,1335,18-Jul-2017,0:05:21,,
VIEW,2636314,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,How batteries work,,1,55,18-Jul-2017,0:01:53,,
VIEW,2636314,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Ground Mount array,,1,5,18-Jul-2017,0:01:41,,
VIEW,2636314,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Inverter with small battery storage,,1,10,18-Jul-2017,0:01:29,,
VIEW,5698896,,MAC_OS_X,MAC_OS_X,CHROME,,,,,"Still, Christopher 4.06KW Preliminary Estimate.pdf",,1,20,17-Jul-2017,22:54:27,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Hanson, Dennis 4.64KW Preliminary Estimate.pdf",,1,5,17-Jul-2017,21:52:14,,
VIEW,5199507,,MAC_OS_X,MAC_OS_X,FIREFOX48,,,,,"Payne, Susan 8.99KW String Inverter with Secure Power Supply Bid Proposal.pdf",,1,85,16-Jul-2017,22:15:06,,
VIEW,5199507,,MAC_OS_X,MAC_OS_X,FIREFOX48,,,,,"Payne, Susan 8.12KW String Inverter with Secure Power Supply Bid Proposal.pdf",,1,115,16-Jul-2017,22:12:09,,
VIEW,5199507,,MAC_OS_X,MAC_OS_X,FIREFOX48,,,,,"Payne, Susan 4.64KW Battery Backup Ready Bid Proposal.pdf",,1,10,16-Jul-2017,22:08:25,,
VIEW,5199507,,MAC_OS_X,MAC_OS_X,FIREFOX48,,,,,"Payne, Susan 4.64KW String Inverter with Secure Power Supply Bid Proposal.pdf",,1,15,16-Jul-2017,21:57:56,,
VIEW,5199507,,MAC_OS_X,MAC_OS_X,FIREFOX48,,,,,Federal energy tax credit,,1,20,16-Jul-2017,21:57:26,,
VIEW,5199507,,MAC_OS_X,MAC_OS_X,FIREFOX48,,,,,"Payne, Susan 4.64KW String Inverter Bid Proposal.pdf",,1,205,16-Jul-2017,21:52:21,,
VIEW,5713756,,ANDROID6,ANDROID6,CHROME_MOBILE,,,,,Upload Electricity Bill,,1,20,15-Jul-2017,6:04:58,,
VIEW,5713756,,ANDROID6,ANDROID6,CHROME_MOBILE,,,,,Upload Electricity Bill,,1,15,15-Jul-2017,3:03:26,,
VIEW,5713756,,ANDROID6,ANDROID6,CHROME_MOBILE,,,,,Estimate the benefits of solar,,1,25,15-Jul-2017,2:37:53,,
VIEW,5713756,,ANDROID6,ANDROID6,CHROME_MOBILE,,,,,"Curry, Donn 4.64KW Preliminary Estimate.pdf",,1,5,15-Jul-2017,2:31:53,,
VIEW,5713756,,ANDROID6,ANDROID6,CHROME_MOBILE,,,,,Your Solar Interest - form,,1,55,15-Jul-2017,2:29:22,,
VIEW,5713756,,ANDROID6,ANDROID6,CHROME_MOBILE,,,,,Upload Electricity Bill,,1,25,15-Jul-2017,2:29:05,,
VIEW,5722778,,WINDOWS_7,WINDOWS_7,CHROME,,,,,"Humphries, Lindsay 4.64KW Preliminary Estimate.pdf",,1,335,14-Jul-2017,22:51:09,,
SHARE,5722778,2834196,,WEB,,,,14-Jul-2017,22:28:03,Get the Power Lindsay Humphries,WEB,1,335,14-Jul-2017,22:28:03,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Humphries, Lindsay 4.64KW Preliminary Estimate.pdf",,1,65,14-Jul-2017,22:26:34,,
VIEW,5655305,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Doherty, Conan 5.04KW Preliminary Estimate.pdf",,1,10,14-Jul-2017,7:14:51,,
VIEW,5655305,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Your solar interest - form,,1,5,14-Jul-2017,7:14:35,,
VIEW,5655305,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,SolarEdge performance monitoring,,1,5,14-Jul-2017,7:14:19,,
VIEW,5655305,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Estimate the benefits of solar,,1,10,14-Jul-2017,7:14:08,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Schneider, Mike 27.6KW Groundmount Preliminary Estimate.pdf",,1,80,14-Jul-2017,1:45:23,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Schneider, Mike 26.1KW Roof Mounted Preliminary Estimate.pdf",,1,45,14-Jul-2017,1:34:09,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Gottfried, Jennifer 5.22KW Preliminary Estimate.pdf",,1,10,14-Jul-2017,1:25:46,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Still, Christopher 4.06KW Preliminary Estimate.pdf",,1,45,14-Jul-2017,1:25:01,,
SHARE,2637375,2622013,,WEB,,,,12-Jul-2017,22:34:01,E2 Solar contracts for Richard A. Michell,WEB,1,215,14-Jul-2017,1:01:00,,
VIEW,2637375,,WINDOWS_7,WINDOWS_7,IE11,,,,,Michell 5.8kW Solar contracts v2,,1,10,14-Jul-2017,1:00:03,,
VIEW,2637375,,WINDOWS_7,WINDOWS_7,IE11,,,,,Michell 5.8kW Solar contracts v2,,1,5,14-Jul-2017,0:59:57,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Fairchild, Karen Prelim Roof Layout.png",,1,340,14-Jul-2017,0:19:32,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Wilkinson, Jessica 13.8KW Commercial Preliminary Estimate.pdf",,1,20,13-Jul-2017,22:48:43,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Wilkinson, Jessica 13.8KW Residential Preliminary Estimate.pdf",,1,105,13-Jul-2017,22:46:11,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Garland Contracts   ,,1,130,13-Jul-2017,22:00:04,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Garland Contracts   ,,1,25,13-Jul-2017,22:00:04,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Garland Contracts   ,,1,20,13-Jul-2017,21:59:14,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Garland Contracts   ,,1,325,13-Jul-2017,21:45:37,,
SHARE,5713756,2834196,,WEB,,,,13-Jul-2017,8:04:16,Get the Power Donn Curry,WEB,1,600,13-Jul-2017,8:04:16,,
SHARE,5199507,2834196,,WEB,,,,13-Jul-2017,7:45:03,Solar Blueprint Susan Payne,WEB,1,2025,13-Jul-2017,7:45:03,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Payne, Susan 8.99KW String Inverter with Secure Power Supply Bid Proposal.pdf",,1,15,13-Jul-2017,7:44:12,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Payne, Susan 8.12KW String Inverter with Secure Power Supply Bid Proposal.pdf",,1,10,13-Jul-2017,7:44:01,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Payne, Susan 4.64KW String Inverter Bid Proposal.pdf",,1,10,13-Jul-2017,7:43:35,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Your home with solar,,1,5,13-Jul-2017,7:40:43,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Payne, Susan 4.64KW String Inverter with Secure Power Supply Bid Proposal.pdf",,1,5,13-Jul-2017,7:40:36,,
VIEW,2637375,,WINDOWS_7,WINDOWS_7,IE11,,,,,Michell 5.8kW Solar contracts v2,,1,65,13-Jul-2017,7:31:40,,
SHARE,4644420,2834196,,WEB,,,,12-Jul-2017,4:08:29,Get the Power Paul Hoefle,WEB,1,135,13-Jul-2017,4:09:00,,
VIEW,4644420,,ANDROID4_TABLET,ANDROID4_TABLET,CHROME,,,,,Estimate the benefits of solar,,1,15,13-Jul-2017,4:08:38,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Payne, Susan 4.64KW String Inverter with Secure Power Supply Bid Proposal.pdf",,1,45,13-Jul-2017,4:01:01,,
VIEW,4644420,,ANDROID4_TABLET,ANDROID4_TABLET,CHROME,,,,,"Hoefle, Paul 5.22KW Preliminary Estimate.pdf",,1,120,13-Jul-2017,4:00:57,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Payne, Susan 4.64KW String Inverter Bid Proposal.pdf",,1,25,13-Jul-2017,4:00:30,,
SHARE,2637375,2622013,,WEB,,,,13-Jul-2017,2:42:29,Michell 5.8kW Solar contracts v2,WEB,1,80,13-Jul-2017,2:42:29,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Michell 5.8kW Solar contracts v2,,1,155,13-Jul-2017,2:38:54,,
VIEW,3501150,,WINDOWS_10,WINDOWS_10,CHROME,,,,,E2 Solar phone meeting,,1,15,13-Jul-2017,2:09:19,,
VIEW,3501150,,WINDOWS_10,WINDOWS_10,CHROME,,,,,"Anady, Ed 5.22KW Bid Proposal.pdf",,1,30,13-Jul-2017,2:00:37,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Your home with solar,,1,10,13-Jul-2017,1:28:13,,
VIEW,3501150,,WINDOWS_10,WINDOWS_10,CHROME,,,,,"Anady, Ed 5.22KW Bid Proposal.pdf",,1,805,13-Jul-2017,1:14:25,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Martin, Chris 5.67KW LG Panels with String Inverter Bid Proposal .pdf",,1,20,13-Jul-2017,0:43:55,,
SHARE,3501150,2834196,,WEB,,,,13-Jul-2017,0:38:23,Solar Blueprint Ed Anady,WEB,1,905,13-Jul-2017,0:38:23,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Anderson, Lynn Prelim Roof Layout.png",,1,5,12-Jul-2017,23:46:04,,
VIEW,2637375,,WINDOWS_7,WINDOWS_7,IE11,,,,,CEC Net Metering Agreement,,1,135,12-Jul-2017,23:13:31,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,CEC Net Metering Agreement,,1,20,12-Jul-2017,22:30:56,,
SHARE,4904527,2834196,,WEB,,,,12-Jul-2017,22:21:59,Get the Power Katy Elliott,WEB,1,104,12-Jul-2017,22:21:59,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Elliott, Katy 6.16kW 022817.pdf",,1,5,12-Jul-2017,22:14:19,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Elliott, Katy 6.16kW 022817.pdf",,1,65,12-Jul-2017,21:52:50,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baker, Mark Prelim Roof Layout.png",,1,5,12-Jul-2017,21:40:39,,
SHARE,5651774,2834196,,WEB,,,,12-Jul-2017,8:02:13,Solar Blueprint Richard Thompson,WEB,1,1870,12-Jul-2017,11:33:00,,
VIEW,5651774,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Thompson, Richard 4.48KW Bid Proposal.pdf",,1,280,12-Jul-2017,11:21:34,,
VIEW,5651774,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Thompson, Richard 5.04KW Bid Proposal.pdf",,1,1255,12-Jul-2017,11:00:19,,
VIEW,5651774,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Federal energy tax credit,,1,15,12-Jul-2017,10:59:46,,
VIEW,5651774,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Thompson, Richard 5.04KW Bid Proposal.pdf",,1,50,12-Jul-2017,10:58:00,,
VIEW,5651774,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Choosing a contractor,,1,40,12-Jul-2017,10:57:12,,
VIEW,5651774,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Thompson, Richard 4.48KW Bid Proposal.pdf",,1,230,12-Jul-2017,10:54:07,,
VIEW,4644519,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"McElroy, Amy 8.68KW Preliminary Estimate.pdf",,1,70,12-Jul-2017,9:15:36,,
SHARE,5326891,2622013,,WEB,,,,8-Jul-2017,1:22:56,E2 Solar contracts for Susan Garland,WEB,1,1250,12-Jul-2017,8:22:00,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Schedule 135,,1,10,12-Jul-2017,8:21:26,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Energy Trust Incentive Application   ,,1,40,12-Jul-2017,8:20:13,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Garland Contracts   ,,1,340,12-Jul-2017,8:12:24,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Thompson, Richard 5.04KW Bid Proposal.pdf",,1,15,12-Jul-2017,8:01:50,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Thompson, Richard 4.48KW Bid Proposal.pdf",,1,20,12-Jul-2017,8:01:25,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Garland Contracts   ,,1,415,12-Jul-2017,7:28:45,,
VIEW,5282278,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Mehner, Miles 4.64KW Preliminary Estimate.pdf",,1,5,12-Jul-2017,4:47:52,,
SHARE,5703879,2834196,,WEB,,,,12-Jul-2017,3:52:31,Get the Power Dennis Hanson,WEB,1,30,12-Jul-2017,3:52:31,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Hanson, Dennis 4.64KW Preliminary Estimate.pdf",,1,15,12-Jul-2017,3:49:27,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Hoefle, Paul Prelim Roof Layout.png",,1,5,12-Jul-2017,3:48:59,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Mehner, Miles 4.64KW Preliminary Estimate.pdf",,1,15,12-Jul-2017,3:28:00,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Mehner, Miles 4.48KW Preliminary Bid Proposal.pdf",,1,85,12-Jul-2017,2:02:15,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Mehner, Miles 4.48KW Preliminary Bid Proposal.pdf",,1,35,12-Jul-2017,1:12:16,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Hoefle, Paul Prelim Roof Layout.png",,1,320,12-Jul-2017,0:13:52,,
SHARE,5326891,2622013,,WEB,,,,11-Jul-2017,23:04:26,Garland Contracts   ,WEB,1,755,11-Jul-2017,23:04:26,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Garland Contracts   ,,1,35,11-Jul-2017,23:04:01,,
VIEW,5698896,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Still, Christopher 4.06KW Preliminary Estimate.pdf",,1,105,11-Jul-2017,21:21:25,,
SHARE,5698980,2834196,,WEB,,,,11-Jul-2017,6:02:45,Get the Power Jennifer Gottfried,WEB,0,0,11-Jul-2017,6:02:45,,
SHARE,5698980,2834196,,WEB,,,,11-Jul-2017,6:02:32,Get the Power Jennifer Gottfried,WEB,0,0,11-Jul-2017,6:02:32,,
SHARE,5698980,2834196,,WEB,,,,11-Jul-2017,6:02:25,Get the Power Jennifer Gottfried,WEB,0,0,11-Jul-2017,6:02:25,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Gottfried, Jennifer 5.22KW Preliminary Estimate.pdf",,1,25,11-Jul-2017,6:01:40,,
SHARE,5698896,2834196,,WEB,,,,11-Jul-2017,5:55:27,Get the Power Christopher Still,WEB,1,390,11-Jul-2017,5:55:27,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Still, Christopher 4.06KW Preliminary Estimate.pdf",,1,10,11-Jul-2017,5:54:37,,
VIEW,4644519,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Estimate the benefits of solar,,1,80,11-Jul-2017,4:17:25,,
VIEW,4644519,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"McElroy, Amy 8.68KW Preliminary Estimate.pdf",,1,15,11-Jul-2017,4:17:04,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Energy Trust Incentive Application   ,,1,20,11-Jul-2017,3:00:03,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Energy Trust funding status for Pacific Power customers only,,1,130,11-Jul-2017,2:36:55,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Energy Trust Incentive Application   ,,1,215,11-Jul-2017,2:32:58,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Schedule 135,,1,5,11-Jul-2017,2:22:36,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Energy Trust Incentive Application   ,,1,120,11-Jul-2017,1:44:02,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Schedule 135,,1,20,11-Jul-2017,1:39:03,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Net Metering Agreement (Sample Only),,1,65,11-Jul-2017,1:36:19,,
VIEW,5651774,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Thompson, Rick 5.04KW Preliminary Estimate.pdf",,1,15,10-Jul-2017,22:36:05,,
SHARE,5576463,2622013,,WEB,,,,7-Jul-2017,1:28:40,E2 Solar contracts for Clifton Ennis,WEB,1,1000,10-Jul-2017,22:36:00,,
VIEW,5576463,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Information about Net-metering ,,1,15,10-Jul-2017,22:34:43,,
VIEW,5576463,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Incentive Application - Energy Trust,,1,15,10-Jul-2017,22:34:12,,
VIEW,5576463,,WINDOWS_10,WINDOWS_10,CHROME,,,,, E2 Contracts ,,1,50,10-Jul-2017,22:33:10,,
VIEW,5636419,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.22KW with 240 Voit outlet Bid Proposal.pdf",,1,10,8-Jul-2017,5:59:31,,
VIEW,5636419,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.8KW with 240 Voit outlet Bid Proposal.pdf",,1,15,8-Jul-2017,5:59:13,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Frazeur, Chris 6.72KW Preliminary Bid Proposal.pdf",,1,25,8-Jul-2017,5:23:28,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Curzon, Robert 4.64KW Bid Proposal.pdf",,1,25,8-Jul-2017,5:10:09,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Grischow, Dawn 4.64KW Bid Proposal.pdf",,1,35,8-Jul-2017,4:30:07,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Boraas, Jim 4.64KW Preliminary Estimate.pdf",,1,40,8-Jul-2017,4:16:15,,
SHARE,2637375,2834196,,WEB,,,,28-Jun-2017,4:23:00,Solar Blueprint Richard Michell,WEB,1,1250,7-Jul-2017,22:33:00,,
VIEW,2637375,,WINDOWS_10,WINDOWS_10,IE11,,,,,"Michell, Richard 5.80KW Bid Proposal.pdf",,1,95,7-Jul-2017,22:30:38,,
SHARE,2637375,2834196,,WEB,,,,7-Jul-2017,22:01:11,Solar Blueprint Richard Michell,WEB,1,1250,7-Jul-2017,22:01:11,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Michell, Richard 5.80KW Bid Proposal.pdf",,1,10,7-Jul-2017,22:00:48,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Michell, Richard 5.22KW Bid Proposal.pdf",,1,30,7-Jul-2017,22:00:17,,
VIEW,5576463,,WINDOWS_10,WINDOWS_10,CHROME,,,,, E2 Contracts ,,1,55,7-Jul-2017,19:37:07,,
VIEW,5326891,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Garland, Susan 5.22KW REC Panels and SolarEdge Inverter Bid Proposal.pdf",,1,5,7-Jul-2017,11:39:49,,
VIEW,5515254,,iOS8_1_IPHONE,iOS8_1_IPHONE,MOBILE_SAFARI,,,,,"Anthon, Kari 4.64KW Preliminary Estimate.pdf",,1,10,7-Jul-2017,11:33:58,,
VIEW,5576463,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,CHROME_MOBILE,,,,,Information about Net-metering ,,1,180,7-Jul-2017,9:55:55,,
VIEW,5576463,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,CHROME_MOBILE,,,,,Incentive Application - Energy Trust,,1,85,7-Jul-2017,9:54:24,,
VIEW,5576463,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,CHROME_MOBILE,,,,, E2 Contracts ,,1,600,7-Jul-2017,9:32:48,,
VIEW,2637375,,WINDOWS_10,WINDOWS_10,IE11,,,,,"Michell, Richard 5.80KW Bid Proposal.pdf",,1,195,7-Jul-2017,8:24:12,,
VIEW,2637375,,WINDOWS_10,WINDOWS_10,IE11,,,,,"Michell, Richard 5.22KW Bid Proposal.pdf",,1,275,7-Jul-2017,8:21:34,,
VIEW,2637375,,WINDOWS_10,WINDOWS_10,IE11,,,,,"Michell, Richard 5.22KW Bid Proposal.pdf",,1,120,7-Jul-2017,7:45:36,,
VIEW,2637375,,WINDOWS_10,WINDOWS_10,IE11,,,,,"Michell, Richard 5.80KW Bid Proposal.pdf",,1,170,7-Jul-2017,7:44:07,,
SHARE,2637375,2834196,,WEB,,,,7-Jul-2017,7:21:56,Solar Blueprint Richard Michell,WEB,1,1250,7-Jul-2017,7:21:56,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Michell, Richard 5.80KW Bid Proposal.pdf",,1,35,7-Jul-2017,7:21:27,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Michell, Richard 5.22KW Bid Proposal.pdf",,1,25,7-Jul-2017,7:21:15,,
SHARE,5636419,2834196,,WEB,,,,7-Jul-2017,6:08:28,Solar Blueprint Jeff Remer,WEB,1,175,7-Jul-2017,6:08:28,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.22KW with 240 Voit outlet Bid Proposal.pdf",,1,20,7-Jul-2017,6:07:19,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.8KW with 240 Voit outlet Bid Proposal.pdf",,1,10,7-Jul-2017,6:07:08,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Thompson, Rick 5.04KW Preliminary Estimate.pdf",,1,5,7-Jul-2017,5:36:30,,
VIEW,5636419,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.22KW with 240 Voit outlet Bid Proposal.pdf",,1,20,7-Jul-2017,4:02:23,,
VIEW,5636419,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.8KW with 240 Voit outlet Bid Proposal.pdf",,1,80,7-Jul-2017,3:23:09,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Thompson, Rick 5.04KW Preliminary Estimate.pdf",,1,20,7-Jul-2017,2:39:29,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,, E2 Contracts ,,1,65,7-Jul-2017,1:27:14,,
VIEW,5672736,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Wills, Colin 13.92KW Residential Preliminary Estimate.pdf",,1,20,6-Jul-2017,23:31:32,,
