Activity Type, User ID, RM ID, User OS, User OS Share, Viewing App, Viewing App Version, User Groups,Shared Date, Shared Time, Title of Content, Share Channel, Viewed, Time Spent in Seconds, Last Activity Date, Last Activity Time,,
VIEW,5773156,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Pacific Power Schedule 135 for Frank Mungeam,,1,120,17-Aug-2017,8:07:58,,
VIEW,5773156,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Energy Trust Incentive Application - Mungeam,,1,20,17-Aug-2017,8:07:16,,
SHARE,5927942,2834196,,WEB,,,,17-Aug-2017,7:37:47,Get the Power David Suhre,WEB,1,2215,17-Aug-2017,7:37:47,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Suhre, David 4.48KW Preliminary Estimate.pdf",,1,20,17-Aug-2017,7:37:10,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Request your site assessment,,1,10,17-Aug-2017,3:47:45,,
SHARE,5713756,2834196,,WEB,,,,22-Jul-2017,3:30:52,Solar Blueprint Donn Curry,WEB,1,80,17-Aug-2017,3:42:00,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,"Curry, Donn 6.38KW Bid Proposal.pdf",,1,25,17-Aug-2017,3:41:35,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,"Curry, Donn 5.8KW Bid Proposal.pdf",,1,20,17-Aug-2017,3:41:09,,
VIEW,5713756,,MAC_OS_X,MAC_OS_X,CHROME,,,,,"Curry, Donn 4.64KW Bid Proposal.pdf",,1,35,17-Aug-2017,3:40:30,,
SHARE,5636419,2834196,,WEB,,,,28-Jun-2017,1:57:05,Solar Blueprint Jeff Remer,WEB,1,175,16-Aug-2017,22:21:00,,
VIEW,5636419,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.8KW with 240 Voit outlet Bid Proposal.pdf",,1,50,16-Aug-2017,22:11:27,,
VIEW,5919547,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Request your site assessment,,1,120,16-Aug-2017,22:07:09,,
SHARE,3195226,2834196,,WEB,,,,16-Aug-2017,9:17:06,Solar Blueprint Nancy Isbell,WEB,0,0,16-Aug-2017,9:17:06,,
SHARE,5636419,2834196,,WEB,,,,16-Aug-2017,8:29:41,Solar Blueprint Jeff Remer,WEB,1,175,16-Aug-2017,8:29:41,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.8KW with 240 Voit outlet Bid Proposal.pdf",,1,20,16-Aug-2017,8:29:13,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Remer, Jeff 5.22KW with 240 Voit outlet Bid Proposal.pdf",,1,15,16-Aug-2017,8:28:50,,
VIEW,5919547,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Upload Electricity Bill,,1,5,16-Aug-2017,7:13:43,,
VIEW,5919547,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Orman, Rob 10.44KW Preliminary Estimate.pdf",,1,25,16-Aug-2017,7:13:09,,
SHARE,5919547,2834196,,WEB,,,,16-Aug-2017,7:02:18,Get the Power Rob Orman,WEB,1,150,16-Aug-2017,7:02:18,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Orman, Rob 10.44KW Preliminary Estimate.pdf",,1,15,16-Aug-2017,7:01:43,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Request your site assessment,,1,55,16-Aug-2017,3:45:37,,
SHARE,5524578,2622013,,WEB,,,,15-Aug-2017,23:52:45,E2 Solar contracts for Charles Gradek,WEB,1,855,16-Aug-2017,1:59:00,,
VIEW,5524578,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Net Metering Agreement (Sample Only),,1,220,16-Aug-2017,1:54:27,,
VIEW,5524578,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Pacific Power - Schedule 135 Gradek,,1,205,16-Aug-2017,1:50:51,,
VIEW,5524578,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Energy Trust Incentive Application - Gradek,,1,65,16-Aug-2017,1:49:31,,
VIEW,5524578,,WINDOWS_10,WINDOWS_10,CHROME,,,,,E2 Solar Contracts for Charles & Sarah Gradek,,1,365,16-Aug-2017,1:42:30,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Solar Cost Terminology,,1,5,16-Aug-2017,0:51:17,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,E2 Solar Contracts for Charles & Sarah Gradek,,1,45,15-Aug-2017,23:51:27,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Energy Trust Incentive Application - Mungeam,,1,10,15-Aug-2017,22:16:53,,
SHARE,5812998,2834196,,WEB,,,,12-Aug-2017,5:11:04,Solar Blueprint Brian Carroll,WEB,1,470,15-Aug-2017,11:04:00,,
VIEW,5812998,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Carroll, Brian 4.48KW Bid Proposal.pdf",,1,55,15-Aug-2017,11:02:15,,
VIEW,5812998,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Carroll, Brian 4.20KW Bid Proposal.pdf",,1,125,15-Aug-2017,11:00:02,,
VIEW,5812998,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Choosing a contractor,,1,25,15-Aug-2017,10:57:18,,
VIEW,5812998,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Energy Trust Incentive Funding Status,,1,45,15-Aug-2017,10:55:57,,
VIEW,5812998,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Carroll, Brian 4.48KW Bid Proposal.pdf",,1,120,15-Aug-2017,10:55:45,,
VIEW,5812998,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Carroll, Brian 4.20KW Bid Proposal.pdf",,1,30,15-Aug-2017,10:55:20,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Rehfeldt, Dean 4.64KW Preliminary Estimate.pdf",,1,5,15-Aug-2017,9:40:10,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Parsons, John 5.22KW Preliminary Estimate.pdf",,1,10,15-Aug-2017,9:37:05,,
VIEW,3480466,,WINDOWS_7,WINDOWS_7,FIREFOX,,,,,Read what our customers have to say,,1,60,15-Aug-2017,7:56:17,,
VIEW,3480466,,WINDOWS_7,WINDOWS_7,FIREFOX,,,,,About E2 Solar,,1,115,15-Aug-2017,7:54:14,,
VIEW,3480466,,WINDOWS_7,WINDOWS_7,FIREFOX,,,,,Request your site assessment,,1,15,15-Aug-2017,7:53:22,,
VIEW,3480466,,WINDOWS_7,WINDOWS_7,FIREFOX,,,,,Estimate the benefits of solar,,1,140,15-Aug-2017,7:49:47,,
VIEW,3480466,,WINDOWS_7,WINDOWS_7,FIREFOX,,,,,"Martin, Ruth 4.64KW Preliminary Estimate without Oregon State Tax Credit.pdf",,1,40,15-Aug-2017,7:47:29,,
VIEW,3480466,,WINDOWS_7,WINDOWS_7,FIREFOX,,,,,"Martin, Ruth 4.64KW Preliminary Estimate.pdf",,1,215,15-Aug-2017,7:30:14,,
VIEW,5773156,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Mungeam E2 Solar Contract,,1,370,15-Aug-2017,7:19:01,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"McGowan, Torree 5.51KW Preliminary Estimate.pdf",,1,70,15-Aug-2017,5:04:27,,
SHARE,5778045,2622013,,WEB,,,,11-Aug-2017,0:09:00,E2 Solar contracts for Jon Fogarty,WEB,1,445,15-Aug-2017,4:16:00,,
VIEW,5778045,,WINDOWS_10,WINDOWS_10,CHROME,,,,,E2 Solar Contracts - Jon Fogarty,,1,120,15-Aug-2017,4:13:32,,
VIEW,5778045,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Net Metering Agreement (Sample Only),,1,25,15-Aug-2017,2:33:46,,
VIEW,5778045,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Pacific Power Schedule 135 - Fogarty,,1,45,15-Aug-2017,2:32:55,,
VIEW,5778045,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Energy Trust Incentive Application - Fogarty,,1,45,15-Aug-2017,2:31:52,,
VIEW,5778045,,WINDOWS_10,WINDOWS_10,CHROME,,,,,E2 Solar Contracts - Jon Fogarty,,1,210,15-Aug-2017,2:29:56,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"McGowan, Torree 5.51KW Preliminary Estimate.pdf",,1,60,15-Aug-2017,2:01:45,,
SHARE,5812998,2834196,,WEB,,,,15-Aug-2017,1:41:23,Solar Blueprint Brian Carroll,WEB,1,470,15-Aug-2017,1:41:23,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Carroll, Brian 4.48KW Bid Proposal.pdf",,1,20,15-Aug-2017,1:40:59,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Carroll, Brian 4.20KW Bid Proposal.pdf",,1,15,15-Aug-2017,1:40:38,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Anderson, Gary 5.22KW Preliminary Estimate.pdf",,1,5,15-Aug-2017,1:01:06,,
SHARE,5885766,2834196,,WEB,,,,15-Aug-2017,0:53:55,Get the Power Gary Anderson,WEB,0,0,15-Aug-2017,0:53:55,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Anderson, Gary 5.22KW Preliminary Estimate.pdf",,1,10,15-Aug-2017,0:53:27,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Energy Trust Incentive Application - Fogarty,,1,10,15-Aug-2017,0:15:24,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,E2 Solar Contracts - Jon Fogarty,,1,5,15-Aug-2017,0:15:15,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Energy Trust Incentive Application - Mungeam,,1,5,15-Aug-2017,0:12:51,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Mungeam E2 Solar Contract,,1,10,15-Aug-2017,0:12:36,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Thorburn, Matt 8.12KW Preliminary Estimate.pdf",,1,40,14-Aug-2017,23:00:23,,
VIEW,3480466,,WINDOWS_7,WINDOWS_7,IE7,,,,,"Martin, Ruth 4.64KW Preliminary Estimate.pdf",,1,20,14-Aug-2017,22:45:15,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Thorburn, Matt 8.12KW Preliminary Estimate.pdf",,1,680,14-Aug-2017,22:42:57,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"McGowan, Torree 5.51KW Preliminary Estimate.pdf",,1,120,14-Aug-2017,21:53:56,,
VIEW,5812998,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,SolarEdge performance monitoring,,1,30,14-Aug-2017,16:15:10,,
VIEW,5859148,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Read what our customers have to say,,1,40,14-Aug-2017,11:11:12,,
VIEW,5859148,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Estimate the benefits of solar,,1,70,14-Aug-2017,11:09:48,,
VIEW,5859148,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Your Solar Interest - form,,1,50,14-Aug-2017,11:08:51,,
VIEW,5859148,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Learn about net metering,,1,25,14-Aug-2017,11:08:08,,
VIEW,5859148,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Solar Cost Terminology,,1,95,14-Aug-2017,11:06:20,,
VIEW,5859148,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Choosing a contractor,,1,5,14-Aug-2017,11:06:09,,
VIEW,5812998,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,SolarEdge performance monitoring,,1,10,14-Aug-2017,10:32:19,,
VIEW,5812998,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Choosing a contractor,,1,5,14-Aug-2017,10:32:12,,
VIEW,5812998,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,Federal energy tax credit,,1,10,14-Aug-2017,10:32:00,,
VIEW,5812998,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Carroll, Brian 4.48KW Bid Proposal.pdf",,1,5,14-Aug-2017,10:31:42,,
VIEW,5239677,,WINDOWS_10,WINDOWS_10,CHROME,,,,,"Peterson, Oliver 26.22KW Groundmount Preliminary Bid Proposal.pdf",,1,1975,13-Aug-2017,12:00:02,,
VIEW,5239677,,WINDOWS_10,WINDOWS_10,CHROME,,,,,"Peterson, Oliver 26.22KW Groundmount Preliminary Bid Proposal.pdf",,1,290,13-Aug-2017,11:55:09,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,5,13-Aug-2017,1:43:29,,
VIEW,5812998,,MAC_OS_X_IPHONE,MAC_OS_X_IPHONE,MOBILE_SAFARI,,,,,"Carroll, Brian 4.20KW Bid Proposal.pdf",,1,10,12-Aug-2017,17:23:11,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,15,12-Aug-2017,11:59:49,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Carroll, Brian 4.48KW Bid Proposal.pdf",,1,5,12-Aug-2017,5:10:47,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Carroll, Brian 4.20KW Bid Proposal.pdf",,1,30,12-Aug-2017,5:07:16,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Energy Trust funding status for Pacific Power customers only,,1,80,12-Aug-2017,4:18:34,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,20,12-Aug-2017,4:00:52,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,35,12-Aug-2017,3:10:53,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,40,12-Aug-2017,2:04:23,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Thorburn, Matt 8.12KW Preliminary Estimate.pdf",,1,5,12-Aug-2017,2:02:50,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Thorburn, Matt 8.12KW Preliminary Estimate.pdf",,1,10,12-Aug-2017,1:57:46,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,35,12-Aug-2017,1:14:23,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Estimate the benefits of solar,,1,5,12-Aug-2017,0:10:14,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Request your site assessment,,1,35,12-Aug-2017,0:09:52,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,55,12-Aug-2017,0:07:24,,
VIEW,5773156,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Mungeam E2 Solar Contract,,1,130,12-Aug-2017,0:00:18,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Request your site assessment,,1,25,11-Aug-2017,23:54:22,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,Estimate the benefits of solar,,1,30,11-Aug-2017,23:53:19,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,"Thorburn, Matt 8.12KW Preliminary Estimate.pdf",,1,90,11-Aug-2017,23:51:56,,
VIEW,5858299,,MAC_OS_X_IPAD,MAC_OS_X_IPAD,MOBILE_SAFARI,,,,,About E2 Solar,,1,35,11-Aug-2017,23:51:07,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Thorburn, Matt 8.12KW Preliminary Estimate.pdf",,1,50,11-Aug-2017,23:34:07,,
VIEW,5773156,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,Mungeam E2 Solar Contract,,1,120,11-Aug-2017,22:38:44,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,20,11-Aug-2017,22:04:20,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,30,11-Aug-2017,21:29:44,,
VIEW,5860243,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Lot 921 NW Fields St 5.6KW Preliminary Estimate.pdf,,1,10,11-Aug-2017,19:55:08,,
VIEW,5860243,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Estimate the benefits of solar,,1,35,11-Aug-2017,19:54:30,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,25,11-Aug-2017,15:02:36,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,25,11-Aug-2017,14:04:15,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,25,11-Aug-2017,13:05:55,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,25,11-Aug-2017,12:07:36,,
SHARE,5239677,2834196,,WEB,,,,21-Apr-2017,6:29:49,Get the Power Oliver Peterson,WEB,1,1305,11-Aug-2017,11:37:00,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,60,11-Aug-2017,11:16:54,,
VIEW,5239677,,WINDOWS_7,WINDOWS_7,CHROME,,,,,"Peterson, Oliver 26.22KW Groundmount Preliminary Bid Proposal.pdf",,1,135,11-Aug-2017,11:10:09,,
VIEW,5655020,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,115,11-Aug-2017,5:31:59,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Baldock, Jerry 5.22KW Preliminary Estimate.pdf",,1,700,11-Aug-2017,5:18:35,,
SHARE,5255454,2834196,,WEB,,,,18-May-2017,23:35:23,Solar Blueprint Dakota Gale,WEB,1,425,11-Aug-2017,4:20:00,,
VIEW,5255454,,WINDOWS_10,WINDOWS_10,CHROME,,,,,"Gale, Dakota 5.36KW Bid Proposal.pdf",,1,25,11-Aug-2017,4:18:59,,
VIEW,5255454,,WINDOWS_10,WINDOWS_10,CHROME,,,,,"Gale, Dakota 5.36KW Bid Proposal.pdf",,1,120,11-Aug-2017,3:57:45,,
SHARE,5869619,2834196,,WEB,,,,11-Aug-2017,2:46:26,Get the Power Robert Salladay,WEB,0,0,11-Aug-2017,2:46:26,,
VIEW,2834196,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,"Salladay, Robert 5.22KW Preliminary Estimate.pdf",,1,15,11-Aug-2017,2:45:45,,
VIEW,5515792,,ANDROID_MOBILE,ANDROID_MOBILE,CHROME_MOBILE,,,,,"Alves, David 5.22KW Preliminary Estimate.pdf",,1,5,11-Aug-2017,2:20:02,,
VIEW,2622013,,MAC_OS_X,MAC_OS_X,SAFARI,,,,,E2 Solar Contracts - Jon Fogarty,,1,40,11-Aug-2017,0:08:28,,
VIEW,5778045,,WINDOWS_10,WINDOWS_10,CHROME,,,,,Estimate the benefits of solar,,1,15,10-Aug-2017,8:15:35,,
VIEW,5515792,,ANDROID6_TABLET,ANDROID6_TABLET,CHROME,,,,,"Alves, David 5.22KW Preliminary Estimate.pdf",,1,75,10-Aug-2017,8:00:05,,
VIEW,5515792,,ANDROID6_TABLET,ANDROID6_TABLET,CHROME,,,,,"Alves, David 5.22KW Preliminary Estimate.pdf",,1,30,10-Aug-2017,7:59:18,,
SHARE,5515792,2834196,,WEB,,,,10-Aug-2017,7:37:42,Get the Power David Alves,WEB,1,485,10-Aug-2017,7:37:42,,
